Категория,Название товара,Цена
Видеокарты,Видеокарта Gigabyte GeForce GTX 1660Ti (GV-N166TOC-6GD),199 990 ₸
Видеокарты,Видеокарта Palit RTX 3070Ti GameRock OC 8G (NED307TT19P2-1047G),549 990 ₸
Видеокарты,Видеокарта Gigabyte RTX3060Ti GAMING OC 8G (GV-N306TGAMING OC-8GD),от 272 995 ₸
Видеокарты,Видеокарта Gigabyte RTX 3080 Gaming OC 10G (GV-N3080GAMING OC-10GD),569 990 ₸
Видеокарты,Видеокарта MSI GeForce RTX 5080 16G VANGUARD SOC (G5080-16VGS),899 990 ₸
Видеокарты,Видеокарта Palit GTX1660Ti Stormx 6G,179 990 ₸
Видеокарты,Видеокарта Palit GeForce RTX 3070 GamingPro 8G (NE63070019P2-1041A),429 990 ₸
Видеокарты,Видеокарта Gigabyte GTX1660 SUPER OC 6G (GV-N166SOC-6GD),209 990 ₸
Жесткие диски и SSD,Внутренний SSD Kingston 1000GB NV2 (SNV2S/1000G),39 990 ₸
Жесткие диски и SSD,Внутренний диск SSD Kingston SA400S37/480G,24 990 ₸
Жесткие диски и SSD,Внутренний диск SSD Kingston SA400S37/960G,36 990 ₸
Жесткие диски и SSD,Внутренний SSD Kingston 500 GB NV2 (SNV2S/500G),26 990 ₸
Жесткие диски и SSD,Внутренний диск SSD Kingston SA400S37/240G,20 990 ₸
Жесткие диски и SSD,Внутренний SSD Kingston SKC600/256G,16 390 ₸
Жесткие диски и SSD,Внутренний SSD Kingston SFYRS/2000G,109 990 ₸
Жесткие диски и SSD,Твердотельный накопитель SSD Apacer AS340X AP240GAS340XC-1 240 GB,10 090 ₸
Кронштейны для мониторов,"Настольный кронштейн Brateck LDT13-C012 (13""-32"")",14 990 ₸
Кронштейны для мониторов,"Настольный кронштейн для 2-х мониторов Brateck LDT13-C024 (13""-32"")",23 990 ₸
Кронштейны для мониторов,"Настольный кронштейн Brateck LDT12-T01 (13""-32"")",9 990 ₸
Кронштейны для мониторов,"Настольный кронштейн для 2-х мониторов Brateck LDT12-C024N (13""-32"")",14 990 ₸
Кронштейны для мониторов,"Настольный кронштейн Brateck LDT12-C011 (13""-32"")",9 990 ₸
Кронштейны для мониторов,"Настольный кронштейн для 3-хмониторов Brateck LDT12-C034N (13""-27"")",19 990 ₸
Материнские платы,Материнская плата ASRock B450M-HDV R4.0,35 722 ₸
Материнские платы,Материнская плата ASRock B660M-HDV,51 201 ₸
Материнские платы,Материнская плата ASRock Q270 Pro BTC+,94 908 ₸
Материнские платы,Материнская плата ASRock A520M-HDV,38 238 ₸
Материнские платы,Материнская плата ASRock A520M PHANTOM GAMING 4,45 304 ₸
Материнские платы,Материнская плата ASRock A520M-HVS,37 691 ₸
Оперативная память,Оперативная память Kingston KVR32S22S8/16 DDR4 16GB SO-DIMM,20 961 ₸
Оперативная память,Оперативная память Kingston FURY Beast RGB KF432C16BWAK2/16 DDR4 16GB (Kit 2x8GB) 3200MHz,31 318 ₸
Оперативная память,Оперативная память Apacer EL.04G2V.KNH DDR4 4 GB DIMM,6 736 ₸
Оперативная память,Оперативная память Apacer EL.16G21.GSH DDR4 16 GB DIMM,15 790 ₸
Оперативная память,Оперативная память Apacer EL.08G21.GSH DDR4 8 GB DIMM,9 171 ₸
Оперативная память,Оперативная память Kingston KVR32N22S8/16 DDR4 16 GB DIMM,20 310 ₸
Процессоры,Процессор Intel i5-12400F (OEM),64 046 ₸
Процессоры,Процессор AMD Ryzen™ 7 5700G (OEM) 100-000000263,114 990 ₸
Процессоры,Процессор Intel i9-12900K (OEM),215 905 ₸
Процессоры,Процессор (CPU) Intel Core i3 Processor 12100F 1700,35 584 ₸
Процессоры,Процессор Intel i5-12600KF (OEM),98 029 ₸
Процессоры,Процессор Intel i5-12400 (OEM),78 812 ₸
Процессоры,Процессор Intel G6405 (OEM),37 938 ₸
Процессоры,Процессор Intel i7-12700K (OEM),157 959 ₸
Процессоры,Процессор AMD Ryzen™ 9 5900X (OEM) 100-000000061,167 828 ₸
Процессоры,Процессор Intel i5-10400 (OEM),103 470 ₸
Процессоры,Процессор Intel i9-12900F (OEM),181 379 ₸
Процессоры,Процессор Intel G7400 (OEM),44 618 ₸
Процессоры,Процессор Intel i3-12100 (OEM),63 561 ₸
Процессоры,Процессор Intel i3-10100 (OEM),67 569 ₸
Процессоры,Процессор AMD Ryzen™ 3 3200G (OEM) YD3200C5M4MFH,34 578 ₸
Процессоры,Процессор Intel i9-12900KF (OEM),203 096 ₸
Процессоры,Процессор Intel i7-12700KF (OEM),142 879 ₸
Процессоры,Процессор Intel i3-10105 (OEM),69 100 ₸
